,region,year,policy,consumer,fuel,resid_exp_2020USD,resid_exp_2020USD_total,fuel_exp_share
18112,Russia,2050,ndc,d7,coal,86858611.38596304,12476634514.842865,0.006961701994446614
18113,Russia,2050,ndc,d7,modern,12389775903.456902,12476634514.842865,0.9930382980055533
18114,Russia,2050,ndc,d8,TradBio,0.0,13068572727.171621,0.0
18115,Russia,2050,ndc,d8,coal,79229335.50811586,13068572727.171621,0.006062585192902174
18116,Russia,2050,ndc,d8,modern,12989343391.663506,13068572727.171621,0.9939374148070979
18117,Russia,2050,ndc,d9,TradBio,0.0,13800470541.604744,0.0
18118,Russia,2050,ndc,d9,coal,69008214.38358961,13800470541.604744,0.0050004247446163675
18119,Russia,2050,ndc,d9,modern,13731462327.221153,13800470541.604744,0.9949995752553835
18120,Russia,2050,ndl,d1,TradBio,11851900.627664959,6980204871.925114,0.0016979301961944063
18121,Russia,2050,ndl,d1,coal,103674155.06234793,6980204871.925114,0.014852594868573678
18122,Russia,2050,ndl,d1,modern,6864678816.235102,6980204871.925114,0.983449474935232
18123,Russia,2050,ndl,d10,TradBio,0.0,15349231285.82668,0.0
18124,Russia,2050,ndl,d10,coal,47447514.11922593,15349231285.82668,0.0030911980695110426
18125,Russia,2050,ndl,d10,modern,15301783771.707453,15349231285.82668,0.9969088019304889
18126,Russia,2050,ndl,d2,TradBio,4672948.686882833,9187503578.593733,0.0005086200671279727
18127,Russia,2050,ndl,d2,coal,100647685.96019688,9187503578.593733,0.010954845905551455
18128,Russia,2050,ndl,d2,modern,9082182943.946653,9187503578.593733,0.9885365340273206
18129,Russia,2050,ndl,d3,TradBio,1592967.62237428,10087786583.786112,0.00015791051973032652
18130,Russia,2050,ndl,d3,coal,98507667.86725576,10087786583.786112,0.009765042811828025
18131,Russia,2050,ndl,d3,modern,9987685948.296482,10087786583.786112,0.9900770466684417
18132,Russia,2050,ndl,d4,TradBio,0.0,10727868491.082132,0.0
18133,Russia,2050,ndl,d4,coal,96500681.38320042,10727868491.082132,0.008995326654443943
18134,Russia,2050,ndl,d4,modern,10631367809.698933,10727868491.082132,0.9910046733455561
18135,Russia,2050,ndl,d5,TradBio,0.0,11273086403.071352,0.0
18136,Russia,2050,ndl,d5,coal,94438051.8704284,11273086403.071352,0.0083773022306206
18137,Russia,2050,ndl,d5,modern,11178648351.200924,11273086403.071352,0.9916226977693794
18138,Russia,2050,ndl,d6,TradBio,0.0,11790916273.827328,0.0
18139,Russia,2050,ndl,d6,coal,89862532.01480952,11790916273.827328,0.007621335774750622
18140,Russia,2050,ndl,d6,modern,11701053741.81252,11790916273.827328,0.9923786642252495
18141,Russia,2050,ndl,d7,TradBio,0.0,12316994966.222483,0.0
18142,Russia,2050,ndl,d7,coal,82990937.75582583,12316994966.222483,0.006737920895755505
18143,Russia,2050,ndl,d7,modern,12234004028.466656,12316994966.222483,0.9932620791042444
18144,Russia,2050,ndl,d8,TradBio,0.0,12902188787.713196,0.0
18145,Russia,2050,ndl,d8,coal,75701381.20642465,12902188787.713196,0.005867328594549428
18146,Russia,2050,ndl,d8,modern,12826487406.506771,12902188787.713196,0.9941326714054506
18147,Russia,2050,ndl,d9,TradBio,0.0,13625907561.751186,0.0
18148,Russia,2050,ndl,d9,coal,65935390.0916116,13625907561.751186,0.004838972361495872
18149,Russia,2050,ndl,d9,modern,13559972171.659576,13625907561.751186,0.9951610276385042
18150,Russia,2050,ref,d1,TradBio,11851900.627664959,6081203824.44217,0.0019489398760207048
18151,Russia,2050,ref,d1,coal,61921028.92924752,6081203824.44217,0.010182363676147221
18152,Russia,2050,ref,d1,modern,6007430894.885258,6081203824.44217,0.987868696447832
18153,Russia,2050,ref,d10,TradBio,0.0,13132013255.98234,0.0
18154,Russia,2050,ref,d10,coal,28984727.055671517,13132013255.98234,0.002207180764340716
18155,Russia,2050,ref,d10,modern,13103028528.926668,13132013255.98234,0.9977928192356593
18156,Russia,2050,ref,d2,TradBio,4672948.686882833,7866519085.637806,0.0005940300450569564
18157,Russia,2050,ref,d2,coal,59057172.55044191,7866519085.637806,0.007507408538328569
18158,Russia,2050,ref,d2,modern,7802788964.400482,7866519085.637806,0.9918985614166146
18159,Russia,2050,ref,d3,TradBio,1592967.62237428,8608173534.542522,0.00018505291697269873
18160,Russia,2050,ref,d3,coal,57084706.1209194,8608173534.542522,0.006631453918982029
18161,Russia,2050,ref,d3,modern,8549495860.799229,8608173534.542522,0.9931834931640453
18162,Russia,2050,ref,d4,TradBio,0.0,9145987270.924463,0.0
18163,Russia,2050,ref,d4,coal,55273795.57306619,9145987270.924463,0.006043502350892644
18164,Russia,2050,ref,d4,modern,9090713475.351398,9145987270.924463,0.9939564976491075
18165,Russia,2050,ref,d5,TradBio,0.0,9609934332.942959,0.0
18166,Russia,2050,ref,d5,coal,53450187.1626876,9609934332.942959,0.005561972154113456
18167,Russia,2050,ref,d5,modern,9556484145.780272,9609934332.942959,0.9944380278458865
18168,Russia,2050,ref,d6,TradBio,0.0,10054847902.6857,0.0
18169,Russia,2050,ref,d6,coal,51493544.22338904,10054847902.6857,0.005121265355951815
18170,Russia,2050,ref,d6,modern,10003354358.46231,10054847902.6857,0.9948787346440482
18171,Russia,2050,ref,d7,TradBio,0.0,10510766220.579174,0.0
18172,Russia,2050,ref,d7,coal,49253641.27390848,10510766220.579174,0.004686018149416557
18173,Russia,2050,ref,d7,modern,10461512579.305265,10510766220.579174,0.9953139818505834
18174,Russia,2050,ref,d8,TradBio,0.0,11017286254.314781,0.0
18175,Russia,2050,ref,d8,coal,46244443.20711984,11017286254.314781,0.00419744410190021
18176,Russia,2050,ref,d8,modern,10971041811.107662,11017286254.314781,0.9958025558980999
18177,Russia,2050,ref,d9,TradBio,0.0,11642493632.922981,0.0
18178,Russia,2050,ref,d9,coal,40278596.6892246,11642493632.922981,0.0034596193873212538
18179,Russia,2050,ref,d9,modern,11602215036.233757,11642493632.922981,0.9965403806126788
18180,Russia,2055,ndc,d1,TradBio,11703200.205508858,6673260202.7766,0.001753745523161139
18181,Russia,2055,ndc,d1,coal,106111543.16327038,6673260202.7766,0.015901004896994673
18182,Russia,2055,ndc,d1,modern,6555445459.407822,6673260202.7766,0.9823452495798444
18183,Russia,2055,ndc,d10,TradBio,0.0,14671073807.602516,0.0
18184,Russia,2055,ndc,d10,coal,48506303.245528795,14671073807.602516,0.003306254462464291
18185,Russia,2055,ndc,d10,modern,14622567504.356987,14671073807.602516,0.9966937455375356
18186,Russia,2055,ndc,d2,TradBio,4366204.672987167,8784133509.018661,0.0004970558187104497
18187,Russia,2055,ndc,d2,coal,103055134.7503458,8784133509.018661,0.011731963618783706
18188,Russia,2055,ndc,d2,modern,8676712169.59533,8784133509.018661,0.9877709805625059
18189,Russia,2055,ndc,d3,TradBio,1452622.8956882718,9642512148.3441,0.00015064776412417893
18190,Russia,2055,ndc,d3,coal,100878150.72834718,9642512148.3441,0.010461812147747294
18191,Russia,2055,ndc,d3,modern,9540181374.720064,9642512148.3441,0.9893875400881283
18192,Russia,2055,ndc,d4,TradBio,0.0,10254040826.925175,0.0
18193,Russia,2055,ndc,d4,coal,98828993.82042,10254040826.925175,0.009638053474578892
18194,Russia,2055,ndc,d4,modern,10155211833.104755,10254040826.925175,0.9903619465254212
18195,Russia,2055,ndc,d5,TradBio,0.0,10775507541.191538,0.0
18196,Russia,2055,ndc,d5,coal,96717394.51150139,10775507541.191538,0.008975669511786777
18197,Russia,2055,ndc,d5,modern,10678790146.680037,10775507541.191538,0.9910243304882133
18198,Russia,2055,ndc,d6,TradBio,0.0,11270648375.598154,0.0
18199,Russia,2055,ndc,d6,coal,91867810.3423578,11270648375.598154,0.008151067026566003
18200,Russia,2055,ndc,d6,modern,11178780565.255796,11270648375.598154,0.991848932973434
18201,Russia,2055,ndc,d7,TradBio,0.0,11773761555.146458,0.0
18202,Russia,2055,ndc,d7,coal,84842876.76904261,11773761555.146458,0.007206097759976864
18203,Russia,2055,ndc,d7,modern,11688918678.377415,11773761555.146458,0.9927939022400231
18204,Russia,2055,ndc,d8,TradBio,0.0,12332866488.535183,0.0
18205,Russia,2055,ndc,d8,coal,77390654.09574959,12332866488.535183,0.0062751554286015416
18206,Russia,2055,ndc,d8,modern,12255475834.439432,12332866488.535183,0.9937248445713983
18207,Russia,2055,ndc,d9,TradBio,0.0,13023581590.767353,0.0
18208,Russia,2055,ndc,d9,coal,67406735.33199899,13023581590.767353,0.005175744848850551
18209,Russia,2055,ndc,d9,modern,12956174855.435356,13023581590.767353,0.9948242551511496
18210,Russia,2055,ndl,d1,TradBio,11703200.205508858,6669758068.444273,0.0017546663740141686
18211,Russia,2055,ndl,d1,coal,105245438.86192681,6669758068.444273,0.015779498713733017
18212,Russia,2055,ndl,d1,modern,6552809429.376837,6669758068.444273,0.9824658349122527
18213,Russia,2055,ndl,d10,TradBio,0.0,14662800618.928814,0.0
18214,Russia,2055,ndl,d10,coal,48123728.7735736,14662800618.928814,0.003282028449015988
18215,Russia,2055,ndl,d10,modern,14614676890.15524,14662800618.928814,0.996717971550984
18216,Russia,2055,ndl,d2,TradBio,4366204.672987167,8778867975.68398,0.0004973539509969663
18217,Russia,2055,ndl,d2,coal,102191405.552866,8778867975.68398,0.011640613099082863
18218,Russia,2055,ndl,d2,modern,8672310365.458128,8778867975.68398,0.9878620329499201
18219,Russia,2055,ndl,d3,TradBio,1452622.8956882718,9636577738.358778,0.00015074053622854606
18220,Russia,2055,ndl,d3,coal,100016347.42090319,9636577738.358778,0.01037882432295276
18221,Russia,2055,ndl,d3,modern,9535108768.042187,9636577738.358778,0.9894704351408187
18222,Russia,2055,ndl,d4,TradBio,0.0,10247697605.538336,0.0
18223,Russia,2055,ndl,d4,coal,97970054.287209,10247697605.538336,0.009560201526073661
18224,Russia,2055,ndl,d4,modern,10149727551.251127,10247697605.538336,0.9904397984739264
18225,Russia,2055,ndl,d5,TradBio,0.0,10768862296.057877,0.0
18226,Russia,2055,ndl,d5,coal,95861811.24250901,10768862296.057877,0.008901758478014974
18227,Russia,2055,ndl,d5,modern,10673000484.815367,10768862296.057877,0.991098241521985
18228,Russia,2055,ndl,d6,TradBio,0.0,11263842651.567154,0.0
18229,Russia,2055,ndl,d6,coal,91143238.9633866,11263842651.567154,0.008091664788188933
18230,Russia,2055,ndl,d6,modern,11172699412.603767,11263842651.567154,0.9919083352118111
18231,Russia,2055,ndl,d7,TradBio,0.0,11766729107.343014,0.0
18232,Russia,2055,ndl,d7,coal,84173711.80269219,11766729107.343014,0.007153535280264392
18233,Russia,2055,ndl,d7,modern,11682555395.540321,11766729107.343014,0.9928464647197356
18234,Russia,2055,ndl,d8,TradBio,0.0,12325582476.43752,0.0
18235,Russia,2055,ndl,d8,coal,76780265.6174712,12325582476.43752,0.006229341758432102
18236,Russia,2055,ndl,d8,modern,12248802210.82005,12325582476.43752,0.993770658241568
18237,Russia,2055,ndl,d9,TradBio,0.0,13015992562.805676,0.0
18238,Russia,2055,ndl,d9,coal,66875091.103303,13015992562.805676,0.0051379171262285715
18239,Russia,2055,ndl,d9,modern,12949117471.702374,13015992562.805676,0.9948620828737715
18240,Russia,2055,ref,d1,TradBio,11703200.205508858,5867627918.474996,0.0019945368670463573
18241,Russia,2055,ref,d1,coal,61729884.6032073,5867627918.474996,0.010520415653631114
18242,Russia,2055,ref,d1,modern,5794194833.66628,5867627918.474996,0.9874850474793225
18243,Russia,2055,ref,d10,TradBio,0.0,12693484221.611546,0.0
18244,Russia,2055,ref,d10,coal,28882588.2367596,12693484221.611546,0.0022753869412454122
18245,Russia,2055,ref,d10,modern,12664601633.374786,12693484221.611546,0.9977246130587546
18246,Russia,2055,ref,d2,TradBio,4366204.672987167,7588512071.430805,0.0005753703271323813
18247,Russia,2055,ref,d2,coal,58843611.3455412,7588512071.430805,0.0077543016063814875
18248,Russia,2055,ref,d2,modern,7525302255.412277,7588512071.430805,0.9916703280664861
18249,Russia,2055,ref,d3,TradBio,1452622.8956882718,8303859704.875438,0.00017493345833328504
18250,Russia,2055,ref,d3,coal,56844418.9022802,8303859704.875438,0.006845541823027813
18251,Russia,2055,ref,d3,modern,8245562663.077469,8303859704.875438,0.9929795247186388
18252,Russia,2055,ref,d4,TradBio,0.0,8824070877.47081,0.0
18253,Russia,2055,ref,d4,coal,55004461.0664766,8824070877.47081,0.006233456397875421
18254,Russia,2055,ref,d4,modern,8769066416.404333,8824070877.47081,0.9937665436021246
18255,Russia,2055,ref,d5,TradBio,0.0,9273507065.283604,0.0
18256,Russia,2055,ref,d5,coal,53149124.827263296,9273507065.283604,0.005731286389615522
18257,Russia,2055,ref,d5,modern,9220357940.456339,9273507065.283604,0.9942687136103843
18258,Russia,2055,ref,d6,TradBio,0.0,9704800591.200115,0.0
18259,Russia,2055,ref,d6,coal,51157524.254039995,9704800591.200115,0.005271362741901918
18260,Russia,2055,ref,d6,modern,9653643066.946075,9704800591.200115,0.9947286372580981
18261,Russia,2055,ref,d7,TradBio,0.0,10146657695.633713,0.0
18262,Russia,2055,ref,d7,coal,48876848.6293812,10146657695.633713,0.004817039274953937
18263,Russia,2055,ref,d7,modern,10097780847.004332,10146657695.633713,0.9951829607250461
18264,Russia,2055,ref,d8,TradBio,0.0,10637720583.53518,0.0
18265,Russia,2055,ref,d8,coal,46060848.8353974,10637720583.53518,0.004329954756161703
18266,Russia,2055,ref,d8,modern,10591659734.699781,10637720583.53518,0.9956700452438383
18267,Russia,2055,ref,d9,TradBio,0.0,11243694215.499292,0.0
18268,Russia,2055,ref,d9,coal,40136659.582645506,11243694215.499292,0.0035697039436840623
18269,Russia,2055,ref,d9,modern,11203557555.916647,11243694215.499292,0.996430296056316
18270,Russia,2060,ndc,d1,TradBio,11554901.13401984,6786421534.91862,0.0017026500747950373
18271,Russia,2060,ndc,d1,coal,129017683.87163432,6786421534.91862,0.019011150900042264
18272,Russia,2060,ndc,d1,modern,6645848949.912966,6786421534.91862,0.9792861990251627
18273,Russia,2060,ndc,d10,TradBio,0.0,14928323796.85521,0.0
18274,Russia,2060,ndc,d10,coal,58630822.59215216,14928323796.85521,0.003927488671199863
18275,Russia,2060,ndc,d10,modern,14869692974.263056,14928323796.85521,0.9960725113288
18276,Russia,2060,ndc,d2,TradBio,3732950.66648645,8959090888.87216,0.0004166662346425177
18277,Russia,2060,ndc,d2,coal,125847702.61618017,8959090888.87216,0.01404692777171087
