,Basin,Basin_GLU,Region
134,Indus,IndusR,China
135,Plateau_of_Tibet_Interior,Tibet,China
136,Yangtze,Yangtze,China
137,Xun_Jiang,XunJiang,China
138,Hong_(Red_River),Hong,China
139,Ganges_Bramaputra,GangesR,China
140,South_China_Sea_Coast,SChinaSea,China
141,Hainan,Hainan,China
142,Mekong,Mekong,China
143,Salween,Salween,China
144,Irrawaddy,IrrawaddyR,China
145,Baltic_Sea_Coast,BalticSea,EU-12
146,Denmark_Germany_Coast,DnkGrmCst,EU-12
147,Narva,NarvaR,EU-12
148,Daugava,DaugavaR,EU-12
149,Oder,OderR,EU-12
150,Wisla,WislaR,EU-12
151,Elbe,ElbeR,EU-12
152,Poland_Coast,PolandCst,EU-12
153,Neman,NemanR,EU-12
154,Dniester,DniesterR,EU-12
155,Danube,DanubeR,EU-12
156,Adriatic_Sea_Greece_Black_Sea_Coast,AdrBlkSea,EU-12
157,Mediterranean_Sea_Islands,MeditIsl,EU-12
158,Mediterranean_Sea_East_Coast,MeditE,EU-12
159,Arctic_Ocean_Islands,ArcticIsl,EU-15
160,Scandinavia_North_Coast,ScndnvN,EU-15
161,Sweden,Sweden,EU-15
162,Finland,Finland,EU-15
163,Scotland,Scotland,EU-15
164,Neva,NevaR,EU-15
165,Atlantic_Ocean_Seaboard,CanAtl,EU-15
166,Denmark_Germany_Coast,DnkGrmCst,EU-15
167,Ireland,Ireland,EU-15
168,England_and_Wales,EngWales,EU-15
169,Ems_Weser,EmsWeserR,EU-15
170,Oder,OderR,EU-15
171,Elbe,ElbeR,EU-15
172,Rhine,RhineR,EU-15
173,Scheldt,ScheldtR,EU-15
174,France_West_Coast,FranceCstW,EU-15
175,Loire,LoireR,EU-15
176,Seine,SeineR,EU-15
177,Italy_East_Coast,ItalyCstE,EU-15
178,Danube,DanubeR,EU-15
179,Adriatic_Sea_Greece_Black_Sea_Coast,AdrBlkSea,EU-15
180,Po,PoR,EU-15
181,Italy_West_Coast,ItalyCstW,EU-15
182,Spain_Portugal_Atlantic_Coast,IberiaCst,EU-15
183,France_South_Coast,FranceCstS,EU-15
184,Rhone,RhoneR,EU-15
185,Mediterranean_Sea_Islands,MeditIsl,EU-15
186,Gironde,Gironde,EU-15
187,Spain_South_and_East_Coast,SpainCstSE,EU-15
188,Tiber,TiberR,EU-15
189,Tagus,TagusR,EU-15
190,Ebro,EbroR,EU-15
191,Douro,DouroR,EU-15
192,Mediterranean_Sea_East_Coast,MeditE,EU-15
193,Mediterranean_South_Coast,MeditS,EU-15
194,Guadiana,GuadianaR,EU-15
195,Guadalquivir,GuadalqR,EU-15
196,Africa_North_West_Coast,AfrCstNW,EU-15
197,Caribbean,Caribbean,EU-15
198,India_South_Coast,IndCstS,EU-15
199,Angola_Coast,AngolaCst,EU-15
200,South_Pacific_Islands,NewCaledn,EU-15
201,South_Argentina_South_Atlantic_Coast,ArgCstS,EU-15
202,Antarctica,Antarctica,EU-15
203,Neva,NevaR,Europe_Eastern
204,Daugava,DaugavaR,Europe_Eastern
205,Wisla,WislaR,Europe_Eastern
206,Neman,NemanR,Europe_Eastern
207,Dnieper,DnieperR,Europe_Eastern
208,Black_Sea_North_Coast,BlackSeaN,Europe_Eastern
209,Dniester,DniesterR,Europe_Eastern
210,Don,DonR,Europe_Eastern
211,Danube,DanubeR,Europe_Eastern
212,Danube,DanubeR,Europe_Non_EU
213,Adriatic_Sea_Greece_Black_Sea_Coast,AdrBlkSea,Europe_Non_EU
214,Black_Sea_South_Coast,BlackSeaS,Europe_Non_EU
215,Caspian_Sea_South_West_Coast,CaspianSW,Europe_Non_EU
216,Mediterranean_Sea_East_Coast,MeditE,Europe_Non_EU
217,Tigris_Euphrates,TigrEuphR,Europe_Non_EU
218,Eastern_Jordan_Syria,EJrdnSyr,Europe_Non_EU
219,Arctic_Ocean_Islands,ArcticIsl,European Free Trade Association
220,Scandinavia_North_Coast,ScndnvN,European Free Trade Association
221,Iceland,Iceland,European Free Trade Association
222,Sweden,Sweden,European Free Trade Association
223,Rhine,RhineR,European Free Trade Association
224,Danube,DanubeR,European Free Trade Association
225,Po,PoR,European Free Trade Association
226,Rhone,RhoneR,European Free Trade Association
227,Indus,IndusR,India
228,Sabarmati,SabarmatiR,India
229,Ganges_Bramaputra,GangesR,India
230,Mahi,MahiR,India
231,Bay_of_Bengal_North_East_Coast,BengalBay,India
232,Tapti,TaptiR,India
233,Yasai,BengalW,India
234,Brahamani,BrahmaniR,India
235,Mahandi,MahanadiR,India
236,Godavari,GodavariR,India
237,India_North_East_Coast,IndCstNE,India
238,India_West_Coast,IndCstW,India
239,Irrawaddy,IrrawaddyR,India
240,Krishna,KrishnaR,India
241,Andaman_Nicobar_Islands,AdnNicIsl,India
242,India_East_Coast,IndCstE,India
243,Pennar,PennarR,India
244,Cauvery,CauveryR,India
245,India_South_Coast,IndCstS,India
246,Narmada,NarmadaR,India
247,Palau_and_East_Indonesia,IdnE,Indonesia
248,North_Borneo_Coast,BorneoCstN,Indonesia
249,Sumatra,Sumatra,Indonesia
250,Sulawesi,Sulawesi,Indonesia
251,Kalimantan,Kalimantan,Indonesia
252,Irian_Jaya_Coast,IrianJaya,Indonesia
253,Java_Timor,JavaTimor,Indonesia
254,Sepik,SepikR,Indonesia
255,Fly,FlyR,Indonesia
256,Japan,Japan,Japan
257,Taiwan,Taiwan,Japan
258,Baja_California,MexBaja,Mexico
259,Mexico_Northwest_Coast,MexCstNW,Mexico
260,North_Gulf,MexGulf,Mexico
261,Yucatan_Peninsula,YucatanP,Mexico
262,Mexico_Interior,MexInt,Mexico
263,Pacific_Central_Coast,MexCstW,Mexico
264,Papaloapan,Papaloapan,Mexico
265,Rio_Lerma,RioLerma,Mexico
266,Rio_Verde,RioVerde,Mexico
267,Grijalva_Usumacinta,GrijUsuR,Mexico
268,Rio_Balsas,RioBalsas,Mexico
269,Southern_Central_America,CntAmer,Mexico
270,Isthmus_of_Tehuantepec,Tehuantpc,Mexico
271,California_River_Basin,California,Mexico
272,Lower_Colorado_River_Basin,UsaColoRS,Mexico
273,Rio_Grande_River_Basin,RioGrande,Mexico
274,Caspian_Sea_East_Coast,CaspianE,Middle East
275,Caspian_Sea_South_West_Coast,CaspianSW,Middle East
276,Mediterranean_Sea_East_Coast,MeditE,Middle East
277,Central_Iran,Iran,Middle East
278,Tigris_Euphrates,TigrEuphR,Middle East
279,Persian_Gulf_Coast,PersianGulf,Middle East
280,Farahrud,FarahrudR,Middle East
281,Red_Sea_East_Coast,RedSeaE,Middle East
282,Arabian_Peninsula,ArabianP,Middle East
283,Dead_Sea,DeadSea,Middle East
284,Helmand,Helmand,Middle East
285,Sinai_Peninsula,SinaiP,Middle East
286,Eastern_Jordan_Syria,EJrdnSyr,Middle East
287,Africa_Red_Sea_Gulf_of_Aden_Coast,AfrCstNE,Middle East
288,HamuniMashkel,HamuMashR,Middle East
289,Arabian_Sea_Coast,ArabianSea,Middle East
290,Amu_Darya,AmuDaryaR,Pakistan
291,Tarim_Interior,Tarim,Pakistan
292,Indus,IndusR,Pakistan
293,Helmand,Helmand,Pakistan
294,HamuniMashkel,HamuMashR,Pakistan
295,Arabian_Sea_Coast,ArabianSea,Pakistan
296,Sabarmati,SabarmatiR,Pakistan
297,Arctic_Ocean_Islands,ArcticIsl,Russia
298,Siberia_North_Coast,SiberiaN,Russia
299,Siberia_West_Coast,SiberiaW,Russia
300,Kara_Sea_Coast,KaraSea,Russia
301,Lena,LenaR,Russia
302,Scandinavia_North_Coast,ScndnvN,Russia
303,Russia_Barents_Sea_Coast,BarentsSea,Russia
304,Finland,Finland,Russia
305,Northern_Dvina,DvinaRN,Russia
306,Neva,NevaR,Russia
307,Volga,VolgaR,Russia
308,Baltic_Sea_Coast,BalticSea,Russia
309,Narva,NarvaR,Russia
310,Daugava,DaugavaR,Russia
311,Poland_Coast,PolandCst,Russia
312,Neman,NemanR,Russia
313,Russia_South_East_Coast,RusCstSE,Russia
314,Ural,UralR,Russia
315,Dnieper,DnieperR,Russia
316,Gobi_Interior,Gobi,Russia
317,Amur,AmurR,Russia
318,Caspian_Sea_Coast,CaspianNE,Russia
319,Black_Sea_North_Coast,BlackSeaN,Russia
320,Yenisey,YeniseiR,Russia
321,Don,DonR,Russia
322,Ob,ObR,Russia
323,Black_Sea_South_Coast,BlackSeaS,Russia
324,Caspian_Sea_South_West_Coast,CaspianSW,Russia
325,Syr_Darya,SyrDaryaR,Russia
326,Orange,OrangeR,South Africa
327,Namibia_Coast,AfrCstSW,South Africa
328,South_Africa_South_Coast,AfrCstS,South Africa
329,Limpopo,LimpopoR,South Africa
330,South_Africa_West_Coast,AfrCstSSW,South Africa
331,Antarctica,Antarctica,South Africa
332,Caribbean_Coast,SAmerCstN,South America_Northern
333,Orinoco,OrinocoR,South America_Northern
334,Northeast_South_America_South_Atlantic_Coast,SAmerCstNE,South America_Northern
335,Magdalena,MagdalenaR,South America_Northern
336,Amazon,AmazonR,South America_Northern
337,Colombia_Ecuador_Pacific_Coast,ColEcuaCst,South America_Southern
338,Amazon,AmazonR,South America_Southern
339,South_Chile_Pacific_Coast,ChileCstS,South America_Southern
340,Peru_Pacific_Coast,PeruCst,South America_Southern
341,South_Pacific_Islands,NewCaledn,South America_Southern
342,Uruguay_Brazil_South_Atlantic_Coast,BrzCstS,South America_Southern
343,La_Puna_Region,LaPuna,South America_Southern
344,Salinas_Grandes,Salinas,South America_Southern
345,La_Plata,RioLaPlata,South America_Southern
346,North_Chile_Pacific_Coast,ChileCstN,South America_Southern
347,South_America_Colorado,ArgColoR,South America_Southern
348,Negro,NegroR,South America_Southern
349,South_Argentina_South_Atlantic_Coast,ArgCstS,South America_Southern
350,Caspian_Sea_East_Coast,CaspianE,South Asia
351,Amu_Darya,AmuDaryaR,South Asia
352,Indus,IndusR,South Asia
353,Farahrud,FarahrudR,South Asia
354,Helmand,Helmand,South Asia
355,HamuniMashkel,HamuMashR,South Asia
356,Ganges_Bramaputra,GangesR,South Asia
357,Bay_of_Bengal_North_East_Coast,BengalBay,South Asia
358,Sri_Lanka,SriLanka,South Asia
359,North_and_South_Korea,Korea,South Korea
360,Russia_South_East_Coast,RusCstSE,Southeast Asia
361,North_and_South_Korea,Korea,Southeast Asia
362,Bo_Hai_Korean_Bay_North_Coast,BoHai,Southeast Asia
363,Xun_Jiang,XunJiang,Southeast Asia
364,Hong_(Red_River),Hong,Southeast Asia
365,Ganges_Bramaputra,GangesR,Southeast Asia
366,South_China_Sea_Coast,SChinaSea,Southeast Asia
367,Bay_of_Bengal_North_East_Coast,BengalBay,Southeast Asia
368,Philippines,Phlppns,Southeast Asia
369,North_Marina_Islands_and_Guam,Guam,Southeast Asia
370,Mekong,Mekong,Southeast Asia
371,Viet_Nam_Coast,VietnamCst,Southeast Asia
372,Salween,Salween,Southeast Asia
373,Irrawaddy,IrrawaddyR,Southeast Asia
374,Sittang,SittaungR,Southeast Asia
375,Peninsula_Malaysia,MalaysiaP,Southeast Asia
376,Chao_Phraya,ChaoPhrR,Southeast Asia
377,Gulf_of_Thailand_Coast,ThaiGulf,Southeast Asia
378,Micronesia,Micronesia,Southeast Asia
379,Palau_and_East_Indonesia,IdnE,Southeast Asia
380,North_Borneo_Coast,BorneoCstN,Southeast Asia
381,Sumatra,Sumatra,Southeast Asia
382,Kalimantan,Kalimantan,Southeast Asia
383,Irian_Jaya_Coast,IrianJaya,Southeast Asia
384,Papua_New_Guinea_Coast,PapuaCst,Southeast Asia
385,Java_Timor,JavaTimor,Southeast Asia
386,Solomon_Islands,SolomonIsl,Southeast Asia
387,Madagascar,Madagascar,Southeast Asia
388,Sepik,SepikR,Southeast Asia
389,Fly,FlyR,Southeast Asia
390,South_Pacific_Islands,NewCaledn,Southeast Asia
391,Australia_East_Coast,AusCstE,Southeast Asia
392,China_Coast,ChinaCst,Taiwan
393,Taiwan,Taiwan,Taiwan
394,South_Chile_Pacific_Coast,ChileCstS,Argentina
395,La_Puna_Region,LaPuna,Argentina
396,Mar_Chiquita,MarChiq,Argentina
397,Salinas_Grandes,Salinas,Argentina
398,La_Plata,RioLaPlata,Argentina
399,North_Chile_Pacific_Coast,ChileCstN,Argentina
400,Pampas_Region,Pampas,Argentina
401,North_Argentina_South_Atlantic_Coast,ArgCstN,Argentina
402,South_America_Colorado,ArgColoR,Argentina
403,Negro,NegroR,Argentina
404,Central_Patagonia_Highlands,Patagonia,Argentina
405,South_Argentina_South_Atlantic_Coast,ArgCstS,Argentina
406,Southern_Central_America,CntAmer,Colombia
407,Caribbean_Coast,SAmerCstN,Colombia
408,Orinoco,OrinocoR,Colombia
409,Colombia_Ecuador_Pacific_Coast,ColEcuaCst,Colombia
410,Magdalena,MagdalenaR,Colombia
411,Amazon,AmazonR,Colombia
